name,nodes,spacing,attack,attackers,seed,mode,window,period_ms,duration,dis_threshold,tag,attackers_detected,node_TP,node_FP,node_FN,node_TN,node_TPR,node_FPR,node_precision,node_F1,dec_TP,dec_FP,dec_FN,dec_TN,dec_TPR,dec_FPR,detection_latency_sec,pdr,pdr_normal,delay_mean_s,delay_p95_s,dio_rx_per_node_min,dis_rx_per_node_min,parent_changes_per_node,blocks_temp,blocks_perm,blocked_pairs,temp_block_time_s,attacker_injections
m-30-neighbor-a20pct-w300-paper-s3,30,20,neighbor,20%,3,paper,300,10000,30,3,,19,1,2,5,22,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.2222222222222222,3,2,207,634,0.014285714285714285,0.0031446540880503146,225,1.0,1.0,0.05070029439252318,0.09767839999992134,11.997275195125175,0.2328893055406017,1.2608695652173914,12,1,11,720,354
m-30-neighbor-a20pct-w300-paper-s4,30,20,neighbor,20%,4,paper,300,10000,30,3,,9;17;25,3,0,3,24,0.5,0.0,1.0,0.6666666666666666,15,0,183,666,0.07575757575757576,0.0,225,1.0,1.0,0.050304242990653426,0.0986960000000181,11.75048987892529,0.2780769679970487,1.2608695652173914,17,4,12,1020,354
m-30-neighbor-a20pct-w300-paper-s5,30,20,neighbor,20%,5,paper,300,10000,30,3,,10;13,2,0,4,24,0.3333333333333333,0.0,1.0,0.5,11,0,184,675,0.05641025641025641,0.0,225,1.0,1.0,0.05021143391812966,0.09669600000003982,11.879440795529158,0.27460887281545093,1.2608695652173914,23,1,19,1380,354
m-30-neighbor-a20pct-w300-sliding-s1,30,20,neighbor,20%,1,sliding,300,10000,30,3,,4;20;26;27,4,3,2,21,0.6666666666666666,0.125,0.5714285714285714,0.6153846153846153,299,4,3056,15185,0.08912071535022355,0.0002633484758706959,5,1.0,1.0,0.04986879346557826,0.0966960000000654,8.961479040468475,0.2068313732217023,1.2608695652173914,293,119,163,17580,354
m-30-neighbor-a20pct-w300-sliding-s2,30,20,neighbor,20%,2,sliding,300,10000,30,3,,4;27;30,3,5,3,19,0.5,0.20833333333333334,0.375,0.42857142857142855,164,13,3252,15115,0.04800936768149883,0.0008593336858804865,15,1.0,1.0,0.05021935046729132,0.0986960000000181,9.655950063189122,0.17624688236015845,1.2608695652173914,268,101,152,16080,354
m-30-neighbor-a20pct-w300-sliding-s3,30,20,neighbor,20%,3,sliding,300,10000,30,3,,19;21,2,4,4,20,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,57,9,4213,12923,0.013348946135831381,0.0006959480358799876,15,1.0,1.0,0.05070029439252318,0.09767839999992134,10.289652529168967,0.19517955535912446,1.2608695652173914,259,91,150,15540,354
m-30-neighbor-a20pct-w300-sliding-s4,30,20,neighbor,20%,4,sliding,300,10000,30,3,,9;17;25,3,3,3,21,0.5,0.125,0.5,0.5,294,3,3732,13539,0.07302533532041729,0.00022153300841825432,45,1.0,1.0,0.05003352135751818,0.09868319999994242,10.04204228232418,0.2330503454777163,1.3043478260869565,310,115,167,18600,354
m-30-neighbor-a20pct-w300-sliding-s5,30,20,neighbor,20%,5,sliding,300,10000,30,3,,10;13,2,0,4,24,0.3333333333333333,0.0,1.0,0.5,258,0,3707,13725,0.06506935687263556,0.0,45,1.0,1.0,0.05021143391812966,0.09669600000003982,10.171435221846314,0.23014274166571927,1.2608695652173914,253,87,145,15180,354
m-30-dis-a20pct-w300-paper-s1,30,20,dis,20%,1,paper,300,10000,30,3,,4;6;10;20;26;27,6,0,0,24,1.0,0.0,1.0,1.0,165,0,0,747,1.0,0.0,225,1.0,1.0,0.05041105140187183,0.0986960000000181,41.589692569096805,5.808305581526182,1.2608695652173914,110,55,55,6600,354
m-30-dis-a20pct-w300-paper-s2,30,20,dis,20%,2,paper,300,10000,30,3,,3;4;13;27;29;30,6,0,0,24,1.0,0.0,1.0,1.0,168,0,0,744,1.0,0.0,225,1.0,1.0,0.050552139941691596,0.0986960000000181,42.381402029267065,5.862311627833415,1.2608695652173914,114,56,58,6840,354
m-30-dis-a20pct-w300-paper-s3,30,20,dis,20%,3,paper,300,10000,30,3,,6;9;13;19;20;21,6,0,0,24,1.0,0.0,1.0,1.0,210,0,0,636,1.0,0.0,225,1.0,1.0,0.05110634112149325,0.0986960000000181,40.9589721169803,7.363820802802458,1.3043478260869565,143,70,73,8580,354
m-30-dis-a20pct-w300-paper-s4,30,20,dis,20%,4,paper,300,10000,30,3,,5;9;11;14;17;25,6,0,0,24,1.0,0.0,1.0,1.0,198,0,0,666,1.0,0.0,225,1.0,1.0,0.05116059883040961,0.10122840000003772,42.56315591404827,6.984945839875866,1.2608695652173914,135,66,69,8100,354
m-30-dis-a20pct-w300-paper-s5,30,20,dis,20%,5,paper,300,10000,30,3,,10;13;21;24;25;28,6,0,0,24,1.0,0.0,1.0,1.0,195,0,0,675,1.0,0.0,225,1.0,1.0,0.05054094613583338,0.09769600000004175,42.24283958088312,6.844365450299023,1.2608695652173914,132,65,67,7920,354
