name,nodes,spacing,attack,attackers,seed,mode,window,period_ms,duration,dis_threshold,tag,attackers_detected,node_TP,node_FP,node_FN,node_TN,node_TPR,node_FPR,node_precision,node_F1,dec_TP,dec_FP,dec_FN,dec_TN,dec_TPR,dec_FPR,detection_latency_sec,node_FPR_anyrule,dec_FPR_anyrule,blocks_temp_normal,blocks_perm_normal,normals_blocked,pdr,pdr_normal,rx_duplicates,delay_mean_s,delay_p95_s,overhead_source,dio_rx_per_node_min,dis_rx_per_node_min,parent_changes_per_node,blocks_temp,blocks_perm,blocked_pairs,temp_block_time_s,attacker_injections
m-30-neighbor-a20pct-w300-sliding-s2,30,20,neighbor,20%,2,sliding,300,0,30,3,,3;4;13;27;29;30,6,19,0,5,1.0,0.7916666666666666,0.24,0.3870967741935484,1380,93,8252,42563,0.14327242524916944,0.002180232558139535,5,0.7916666666666666,0.002180232558139535,51,14,20,1.0,1.0,0,0.05009454842473858,0.09969599999999446,ev,19.650763851872135,0.17536266878652765,1.0,98,34,58,5880,1029
m-30-neighbor-a20pct-w300-sliding-s3,30,20,neighbor,20%,3,sliding,300,0,30,3,,9;19;20,3,5,3,19,0.5,0.20833333333333334,0.375,0.42857142857142855,450,31,11590,36433,0.03737541528239203,0.0008501535761298815,5,0.20833333333333334,0.0008501535761298815,11,5,6,1.0,1.0,0,0.052403548801870835,0.10218000000008942,ev,45.69983169604314,0.19422682125249074,1.0344827586206897,27,12,15,1620,2370
m-30-neighbor-a20pct-w300-sliding-s4,30,20,neighbor,20%,4,sliding,300,0,30,3,,9;14;17;25,4,4,2,20,0.6666666666666666,0.16666666666666666,0.5,0.5714285714285715,1531,4,9821,38180,0.1348661028893587,0.00010475591870940707,5,0.16666666666666666,0.00010475591870940707,14,0,10,1.0,1.0,0,0.05096322897196227,0.09966399999998998,ev,34.42718907471762,0.23197937468750554,1.0,45,15,27,2700,1935
m-30-neighbor-a20pct-w300-sliding-s5,30,20,neighbor,20%,5,sliding,300,0,30,3,,10;13;21;24,4,0,2,24,0.6666666666666666,0.0,1.0,0.8,1028,0,10152,38700,0.09194991055456171,0.0,5,0.0,0.0,3,0,2,0.9994155464640561,0.9992636229749632,0,0.05011832514620004,0.09669599999990056,ev,33.9592161857529,0.2289939036895121,1.0,36,12,20,2160,1995
m-30-dis-a20pct-w300-paper-s1,30,20,dis,20%,1,paper,300,0,30,3,,4;6;10;20;26;27,6,0,0,24,1.0,0.0,1.0,1.0,275,0,0,1245,1.0,0.0,225,0.041666666666666664,0.0008025682182985554,1,0,1,1.0,1.0,0,0.05103349271137086,0.09969599999999446,ev,45.5170236224534,4.269168908822742,1.0,111,55,56,6660,306
m-30-dis-a20pct-w300-paper-s2,30,20,dis,20%,2,paper,300,0,30,3,,3;4;13;27;29;30,6,0,0,24,1.0,0.0,1.0,1.0,280,0,0,1240,1.0,0.0,225,0.0,0.0,0,0,0,1.0,1.0,0,0.050586554778552485,0.10094600000013543,ev,46.50168708120731,4.401608965735596,1.0,112,56,56,6720,309
m-30-dis-a20pct-w300-paper-s3,30,20,dis,20%,3,paper,300,0,30,3,,6;9;13;19;20;21,6,0,0,24,1.0,0.0,1.0,1.0,350,0,0,1060,1.0,0.0,225,0.041666666666666664,0.000942507068803016,1,0,1,1.0,1.0,0,0.051680621858563376,0.10069599999997081,ev,51.35672031844899,5.608717339214292,1.0344827586206897,141,70,71,8460,322
m-30-dis-a20pct-w300-paper-s4,30,20,dis,20%,4,paper,300,0,30,3,,5;9;11;14;17;25,6,0,0,24,1.0,0.0,1.0,1.0,330,0,0,1110,1.0,0.0,225,0.0,0.0,0,0,0,0.9994158878504673,0.9992641648270787,0,0.05116202922267861,0.0986960000000181,ev,49.86134047787746,5.268165696927235,1.0,132,66,66,7920,320
m-30-dis-a20pct-w300-paper-s5,30,20,dis,20%,5,paper,300,0,30,3,,10;13;21;24;25;28,6,0,0,24,1.0,0.0,1.0,1.0,318,0,7,1125,0.9784615384615385,0.0,225,0.0,0.0,0,0,0,1.0,1.0,0,0.050970545242266296,0.10069599999997081,ev,51.96234067681789,5.107390972724911,1.0,130,65,65,7800,316
m-30-dis-a20pct-w300-sliding-s1,30,20,dis,20%,1,sliding,300,0,30,3,,4;6;10;20;26;27,6,0,0,24,1.0,0.0,1.0,1.0,147,0,9313,42828,0.015539112050739958,0.0,165,0.16666666666666666,0.00011673242593327574,7,1,5,1.0,1.0,0,0.05064313551401578,0.09913160000000527,ev,72.9205404385306,4.2682154388733275,1.0,90,23,60,5400,307
