timestamp,profile,state,source,in_zone,f_obs_hz,offset_m,distance_to_track_m,lat,lon
1779697358.0855923,tractorbeam,adaptive,sim,0,15.938,785.137,6.234,45.00005850704941,11.00676699745128
1779697358.1480448,tractorbeam,adaptive,sim,0,15.938,785.137,6.513,45.00006080985817,11.006800595688219
1779697358.2106965,tractorbeam,adaptive,sim,0,15.988,785.137,6.769,45.00006311270987,11.006834693913444
1779697358.2727787,tractorbeam,adaptive,sim,0,15.939,819.102,7.026,45.000033331071876,11.006439863009373
1779697358.336322,tractorbeam,adaptive,sim,0,15.939,819.102,3.710,45.00003543408719,11.006474361202384
1779697358.399575,tractorbeam,adaptive,sim,0,15.939,819.102,3.945,45.00003723710329,11.006508859448829
1779697358.463055,tractorbeam,adaptive,sim,0,15.944,819.102,4.145,45.00003894015746,11.00654375771937
1779697358.5834408,tractorbeam,adaptive,sim,0,15.944,819.102,4.335,45.00004214630917,11.006614054267885
1779697358.64659,tractorbeam,adaptive,sim,0,15.944,819.102,4.692,45.00004354940894,11.006649452579692
1779697358.709979,tractorbeam,adaptive,sim,0,15.988,819.102,4.848,45.00004485252883,11.006685050920467
1779697358.7719035,tractorbeam,adaptive,sim,0,15.944,819.102,4.993,45.000046055656,11.006720749260596
1779697358.8354037,tractorbeam,adaptive,sim,0,15.944,819.102,5.127,45.00004715880331,11.006756647629693
1779697358.8984685,tractorbeam,adaptive,sim,0,15.895,819.102,5.250,45.00004796197829,11.00679284604492
1779697358.9611962,tractorbeam,adaptive,sim,0,15.923,819.102,5.339,45.00004896515275,11.006829044424531
1779697359.0219948,tractorbeam,adaptive,sim,0,15.923,819.102,5.451,45.00004976834254,11.006865342885403
1779697359.087465,tractorbeam,adaptive,sim,0,15.923,819.102,5.540,45.000050371571426,11.006901941470746
1779697359.150108,tractorbeam,adaptive,sim,0,15.923,819.102,5.607,45.00005097485678,11.006939040140066
1779697359.2119043,tractorbeam,adaptive,sim,0,15.923,819.102,5.674,45.00005147819892,11.006976638911178
1779697359.2739563,tractorbeam,adaptive,sim,0,15.923,853.350,5.731,45.00002404013033,11.006581268613555
1779697359.3339584,tractorbeam,adaptive,sim,0,15.972,853.350,2.676,45.00002434366961,11.00661936743097
1779697359.394385,tractorbeam,adaptive,sim,0,15.972,853.350,2.710,45.00002454724457,11.006657866240168
1779697359.4580417,tractorbeam,adaptive,sim,0,15.972,853.350,2.733,45.00002455080879,11.006696265072318
1779697359.5204036,tractorbeam,adaptive,sim,0,15.972,853.350,2.733,45.00002435438293,11.00673476393908
1779697359.5860872,tractorbeam,adaptive,sim,0,15.972,853.350,2.711,45.000024257958785,11.00677326280399
1779697359.6463969,tractorbeam,adaptive,sim,0,15.972,853.350,2.700,45.000023961525876,11.006811661708548
1779697359.710357,tractorbeam,adaptive,sim,0,15.997,853.350,2.667,45.00002336511056,11.006850260647056
1779697359.7740073,tractorbeam,adaptive,sim,0,15.997,853.350,2.601,45.00002286868758,11.006888759586234
1779697359.835834,tractorbeam,adaptive,sim,0,15.972,853.350,2.546,45.00002227225556,11.006927158546494
1779697359.8985255,tractorbeam,adaptive,sim,0,15.997,853.350,2.479,45.00002157584251,11.006965757520287
1779697359.9579546,tractorbeam,adaptive,sim,0,16.040,853.350,2.402,45.00002087942014,11.0070042564966
1779697360.018628,tractorbeam,adaptive,sim,0,16.040,853.350,2.324,45.000019882998636,11.007042755528616
1779697360.0811872,tractorbeam,adaptive,sim,0,16.040,853.350,2.213,45.0000190865652,11.007081154509319
1779697360.1444008,tractorbeam,adaptive,sim,0,16.040,853.350,2.125,45.00001789012361,11.007119453566803
1779697360.2064636,tractorbeam,adaptive,sim,0,16.040,853.350,1.992,45.00001679368372,11.00715775262243
1779697360.269708,tractorbeam,adaptive,sim,0,16.074,853.350,1.869,45.00001559723279,11.007195951682444
1779697360.3340132,tractorbeam,adaptive,sim,0,16.040,887.319,1.736,44.99999342636964,11.006802687669913
1779697360.396287,tractorbeam,adaptive,sim,0,16.040,887.319,0.732,44.99999223002205,11.006840486696998
1779697360.4601905,tractorbeam,adaptive,sim,0,16.040,887.319,0.865,44.999990833682816,11.006878385742752
1779697360.5226684,tractorbeam,adaptive,sim,0,16.004,887.319,1.020,44.99998923732479,11.00691608483231
1779697360.5857913,tractorbeam,adaptive,sim,0,16.004,887.319,1.198,44.999987840948705,11.006953583905805
1779697360.6481378,tractorbeam,adaptive,sim,0,15.974,887.319,1.354,44.99998614458331,11.00699118303466
1779697360.7076478,tractorbeam,adaptive,sim,0,15.999,887.319,1.542,44.99998295182185,11.007065781512582
1779697360.7684343,tractorbeam,adaptive,sim,0,15.999,887.319,1.898,44.999982951797584,11.007065781304044
